Time,J1,J2,J3,J4,J5,J6,Mechanical Units\ROB_1 [IRB120_3_58__01]\Joint\Near Limit,Mechanical Units\ROB_1 [IRB120_3_58__01]\Joint\Near Wrist Singularity,Total Motor Energy,Mechanical Units\ROB_1 [IRB120_3_58__01]\TCP\Linear Acceleration In World,Mechanical Units\ROB_1 [IRB120_3_58__01]\TCP\Maximum Linear Acceleration In World,Mechanical Units\ROB_1 [IRB120_3_58__01]\TCP\Orientation Speed In Current Wobj,Mechanical Units\ROB_1 [IRB120_3_58__01]\TCP\Speed In Current Wobj,Total Motor Power
"0,000","6,196","30,468","-5,360","0,000","64,893","6,196",,,"0,000","0,000","0,000","17,582","41,250","14,750"
"0,000","6,196","30,468","-5,360","0,000","64,893","6,196",,,"0,000","0,000","8644,385","0,000","0,000","6,071"
"0,000","6,196","30,468","-5,360","0,000","64,893","6,196",,,"0,000","0,000","8644,385","0,000","0,000","4,962"
"0,000","6,196","30,468","-5,360","0,000","64,893","6,196",,,"0,000","0,000","8644,385","0,000","0,000","4,963"
"0,024","6,196","30,468","-5,360","0,000","64,893","6,196",,,"0,138","0,000","8644,385","0,000","0,000","5,730"
"0,048","6,290","30,477","-5,474","0,311","64,580","5,857","20,000","20,000","0,492","0,000","8644,385","17,582","41,250","14,750"
"0,072","7,473","30,592","-6,915","4,262","60,606","1,549","20,000","20,000","3,238","8644,385","8644,385","295,361","704,639","114,439"
"0,096","9,055","30,746","-8,841","9,545","55,291","-4,212","20,000","20,000","8,182","3270,374","8644,385","390,834","959,952","205,980"
"0,120","10,669","30,903","-10,807","14,933","49,871","-10,088","20,000","20,000","12,047","3284,529","8644,385","393,345","996,720","161,052"
"0,144","12,289","31,061","-12,780","20,344","44,427","-15,988","20,000","20,000","15,897","3313,316","8644,385","383,082","1000,096","160,422"
"0,168","13,929","31,220","-14,777","25,820","38,918","-21,961","20,000","20,000","19,276","-3364,284","8644,385","372,777","1000,731","140,792"
"0,192","15,602","31,383","-16,815","31,406","33,299","-28,052","20,000","20,000","22,777","3432,952","8644,385","362,972","1000,370","145,896"
"0,192","15,602","31,383","-16,815","31,406","33,299","-28,052","20,000","20,000","22,777","3432,952","19371,904","362,972","1000,370","145,896"
"0,216","17,325","31,551","-18,913","37,159","27,511","-34,326","20,000","20,000","26,419","3520,174","19371,904","354,057","1000,637","151,728"
"0,240","19,119","31,725","-21,097","43,149","21,486","-40,857","20,000","20,000","30,310","3677,993","19371,904","346,091","1002,300","162,123"
"0,264","21,007","31,909","-23,397","49,453","15,144","-47,732","20,000","15,144","34,528","3888,494","19371,904","337,752","1002,012","175,744"
"0,288","23,024","32,105","-25,853","56,187","8,370","-55,076","20,000","8,370","39,110","-4176,539","19371,904","329,785","1002,263","190,929"
"0,312","25,211","32,318","-28,516","63,490","1,024","-63,039","20,000","1,024","44,252","-4715,579","19371,904","321,547","1000,976","214,245"
"0,336","27,515","32,543","-31,322","71,184","-6,716","-71,429","20,000","6,716","49,392","-6400,785","19371,904","298,497","949,550","214,174"
"0,360","29,772","32,617","-33,921","78,887","-14,455","-79,800","20,000","14,455","53,756","-8944,290","19371,904","266,276","850,316","181,813"
"0,384","31,539","32,177","-35,457","85,528","-21,085","-86,924","20,000","20,000","55,936","-11939,506","19371,904","210,520","646,849","90,851"
"0,408","32,482","31,331","-35,700","89,908","-25,390","-91,525","20,000","20,000","57,521","-8617,474","19371,904","146,022","430,475","66,025"
"0,432","32,887","30,037","-34,988","93,195","-28,503","-94,870","20,000","20,000","60,086","10398,835","19371,904","122,088","384,763","106,878"
"0,456","32,466","27,624","-32,598","95,869","-30,685","-97,397","20,000","20,000","65,726","19371,904","19371,904","119,242","566,347","235,024"
"0,480","30,489","24,105","-28,217","96,592","-30,293","-97,722","20,000","20,000","76,547","10193,874","19371,904","75,975","887,751","450,853"
"0,504","27,600","20,854","-23,765","95,545","-27,735","-96,260","20,000","20,000","84,192","-2886,980","19371,904","21,961","988,199","318,531"
"0,528","24,393","18,106","-19,914","93,982","-24,456","-94,373","20,000","20,000","89,787","-288,978","19371,904","2,376","1002,060","233,151"
"0,552","21,015","15,765","-16,682","92,386","-21,035","-92,556","20,000","20,000","93,833","-108,400","19371,904","0,275","1002,970","168,576"
"0,576","17,470","13,808","-14,000","90,614","-17,472","-90,644","20,000","17,472","97,753","-79,186","19371,904","0,058","1005,115","163,327"
"0,600","13,791","12,229","-11,829","88,369","-13,797","-88,320","20,000","13,797","101,354","-119,218","19371,904","0,029","1002,166","150,057"
"0,624","10,043","11,038","-10,152","85,012","-10,082","-84,934","20,000","10,082","104,829","3296,091","19371,904","0,011","988,073","144,791"
"0,648","6,406","10,244","-8,971","78,807","-6,531","-78,736","20,000","6,531","106,622","-19917,831","19371,904","0,006","926,167","74,679"
"0,672","4,280","9,935","-8,466","71,094","-4,525","-71,039","20,000","4,525","106,677","-10826,734","19371,904","0,012","546,599","2,294"
"0,696","3,110","9,811","-8,242","63,350","-3,482","-63,308","20,000","3,482","107,809","-4912,245","19371,904","0,273","309,153","47,199"
"0,720","2,372","9,752","-8,123","55,604","-2,877","-55,570","20,000","2,877","109,320","-2470,512","19371,904","0,258","192,011","62,924"
"0,744","1,845","9,717","-8,047","47,861","-2,489","-47,834","20,000","2,489","110,700","-1339,474","19371,904","0,115","136,345","57,509"
"0,768","1,434","9,695","-7,992","40,119","-2,226","-40,098","20,000","2,226","112,025","-804,581","19371,904","0,041","105,015","55,225"
"0,792","1,095","9,679","-7,951","32,377","-2,046","-32,361","20,000","2,046","113,328","-515,505","19371,904","0,014","86,255","54,299"
"0,816","0,802","9,668","-7,917","24,636","-1,925","-24,624","20,000","1,925","114,619","-304,932","19371,904","0,008","74,423","53,789"
"0,840","0,537","9,659","-7,889","16,895","-1,849","-16,886","20,000","1,849","115,896","-182,477","19371,904","0,004","67,200","53,182"
"0,864","0,288","9,653","-7,865","9,153","-1,811","-9,149","20,000","1,811","117,168","-77,114","19371,904","0,003","63,149","53,004"
"0,888","0,044","9,648","-7,842","1,412","-1,806","-1,411","20,000","1,806","118,442","15,897","19371,904","0,002","61,609","53,074"
"0,912","-0,203","9,644","-7,821","-6,330","-1,834","6,327","20,000","1,834","119,724","112,478","19371,904","0,002","62,361","53,451"
"0,936","-0,462","9,642","-7,801","-14,071","-1,898","14,064","20,000","1,898","121,016","227,883","19371,904","0,002","65,495","53,813"
"0,960","-0,745","9,641","-7,781","-21,813","-2,004","21,801","20,000","2,004","122,326","377,169","19371,904","0,004","71,521","54,589"
"0,984","-1,068","9,643","-7,761","-29,554","-2,164","29,537","20,000","2,164","123,672","583,149","19371,904","0,005","81,530","56,075"
"1,008","-1,453","9,648","-7,740","-37,296","-2,398","37,272","20,000","2,398","125,056","961,130","19371,904","0,008","97,566","57,669"
"1,032","-1,942","9,660","-7,720","-45,038","-2,745","45,006","20,000","2,745","126,534","1655,531","19371,904","0,012","123,678","61,603"
"1,056","-2,608","9,685","-7,703","-52,782","-3,275","52,737","20,000","3,275","128,199","3079,371","19371,904","0,023","168,717","69,352"
"1,080","-3,609","9,743","-7,700","-60,533","-4,146","60,469","20,000","4,146","130,240","6522,328","19371,904","0,049","254,682","85,053"
"1,104","-5,314","9,897","-7,759","-68,154","-5,726","68,055","20,000","5,726","133,449","12411,535","19371,904","0,078","435,000","133,699"
"1,128","-8,246","10,328","-8,052","-74,664","-8,552","74,500","20,000","8,552","139,050","11601,268","19371,904","0,132","750,681","233,401"
"1,152","-12,004","11,202","-8,804","-78,866","-12,238","78,614","20,000","12,238","144,335","-896,135","19371,904","0,080","965,144","220,171"
"1,176","-15,508","12,360","-9,917","-81,266","-15,694","80,933","20,000","15,694","148,201","4892,860","19371,904","0,047","929,627","161,110"
"1,200","-19,041","13,904","-11,504","-83,091","-19,185","82,688","20,000","19,185","152,347","600,523","19371,904","0,076","981,260","172,753"
"1,224","-22,514","15,823","-13,586","-84,621","-22,618","84,176","20,000","20,000","156,645","110,967","19371,904","0,118","1000,353","179,061"
"1,248","-25,813","18,093","-16,171","-86,036","-25,879","85,596","20,000","20,000","161,152","-149,262","19371,904","0,055","1001,338","187,799"
"1,272","-28,942","20,718","-19,297","-87,434","-28,974","87,067","20,000","20,000","165,627","-192,022","19371,904","0,032","1002,486","186,443"
"1,296","-31,531","23,316","-22,522","-88,706","-31,540","88,482","20,000","20,000","167,511","-13353,561","19371,904","0,022","861,539","78,503"
"1,320","-33,130","25,157","-24,882","-89,578","-33,130","89,497","20,000","20,000","167,511","-11814,163","19371,904","0,004","569,625","-14,193"
"1,344","-33,951","26,184","-26,225","-90,060","-33,950","90,073","20,000","20,000","167,618","-8424,084","19371,904","0,002","306,455","4,470"
"1,368","-34,287","26,623","-26,804","-90,265","-34,287","90,321","20,000","20,000","168,190","-4166,295","19371,904","0,001","131,051","23,851"
"1,392","-34,402","26,775","-27,006","-90,337","-34,402","90,408","20,000","20,000","168,735","-2059,705","19371,904","0,002","47,119","22,681"
"1,416","-34,410","26,786","-27,021","-90,342","-34,411","90,414","20,000","20,000","169,043","0,000","19371,904","0,000","0,000","12,835"
"1,440","-34,410","26,786","-27,021","-90,342","-34,411","90,414","20,000","20,000","169,348","0,000","19371,904","0,000","0,000","12,715"
